Ф, мВб;\sigma_Ф, мВб;\varepsilon_Ф;B, мТ;\varepsilon_B;\sigma_B, мТ;I, A;\sigma_I, A
0,10 ;0,05;0,50;0,33;0,500;0,167;0,07 ;0,005
0,50 ;0,05;0,10;1,67;0,100;0,167;0,43 ;0,005
0,50 ;0,05;0,10;1,67;0,100;0,167;0,51 ;0,005
1,10 ;0,05;0,05;3,67;0,045;0,167;1,00 ;0,005
2,10 ;0,05;0,02;7,00;0,024;0,167;1,99;0,005
3,20 ;0,05;0,02;10,67;0,016;0,167;3,02;0,005
