Частота,Канал A
(kГц),(В)

0.00000000,0.29229830
0.04768372,0.20144480
0.09536743,0.13644060
0.14305115,0.04275112
0.19073486,0.00446002
0.23841858,0.00077032
0.28610229,0.00028332
0.33378601,0.00011230
0.38146973,0.00038044
0.42915344,0.00045355
0.47683716,0.00049048
0.52452087,0.00051071
0.57220459,0.00053156
0.61988831,0.00043220
0.66757202,0.00032078
0.71525574,0.00014792
0.76293945,0.00008648
0.81062317,0.00020391
0.85830688,0.00023350
0.90599060,0.00030860
0.95367432,0.00039381
1.00135803,0.00051376
1.04904175,0.00061159
1.09672546,0.00059785
1.14440918,0.00051908
1.19209290,0.00040371
1.23977661,0.00027245
1.28746033,0.00028168
1.33514404,0.00026588
1.38282776,0.00032334
1.43051147,0.00031576
1.47819519,0.00033256
1.52587891,0.00041484
1.57356262,0.00032836
1.62124634,0.00014104
1.66893005,0.00019640
1.71661377,0.00034230
1.76429749,0.00037223
1.81198120,0.00041127
1.85966492,0.00044631
1.90734863,0.00047449
1.95503235,0.00051768
2.00271606,0.00056212
2.05039978,0.00050776
2.09808350,0.00041489
2.14576721,0.00037375
2.19345093,0.00033252
2.24113464,0.00028580
2.28881836,0.00029095
2.33650208,0.00025013
2.38418579,0.00023233
2.43186951,0.00023584
2.47955322,0.00012503
2.52723694,0.00003818
2.57492065,0.00021531
2.62260437,0.00040675
2.67028809,0.00048824
2.71797180,0.00048601
2.76565552,0.00044526
2.81333923,0.00038928
2.86102295,0.00032352
2.90870667,0.00021509
2.95639038,0.00020496
3.00407410,0.00032413
3.05175781,0.00040686
3.09944153,0.00043220
3.14712524,0.00033941
3.19480896,0.00028771
3.24249268,0.00037061
3.29017639,0.00038291
3.33786011,0.00034556
3.38554382,0.00032809
3.43322754,0.00033006
3.48091125,0.00031136
3.52859497,0.00020361
3.57627869,0.00014387
3.62396240,0.00013197
3.67164612,0.00012099
3.71932983,0.00014176
3.76701355,0.00016518
3.81469727,0.00022325
3.86238098,0.00031312
3.91006470,0.00048125
3.95774841,0.00060786
4.00543213,0.00061875
4.05311584,0.00051996
4.10079956,0.00041364
4.14848328,0.00028672
4.19616699,0.00018298
4.24385071,0.00011247
4.29153442,0.00003646
4.33921814,0.00004307
4.38690186,0.00010727
4.43458557,0.00015681
4.48226929,0.00025528
4.52995300,0.00038364
4.57763672,0.00039361
4.62532043,0.00031812
4.67300415,0.00018303
4.72068787,0.00011628
4.76837158,0.00013510
4.81605530,0.00013047
4.86373901,0.00011195
4.91142273,0.00006525
4.95910645,0.00010342
5.00679016,0.00024618
5.05447388,0.00025299
5.10215759,0.00024606
5.14984131,0.00031659
5.19752502,0.00044215
5.24520874,0.00052086
5.29289246,0.00052148
5.34057617,0.00047549
5.38825989,0.00036746
5.43594360,0.00023336
5.48362732,0.00026041
5.53131104,0.00029892
5.57899475,0.00023243
5.62667847,0.00011254
5.67436218,0.00002035
5.72204590,0.00011238
5.76972961,0.00008572
5.81741333,0.00011403
5.86509705,0.00024078
5.91278076,0.00032647
5.96046448,0.00035994
6.00814819,0.00027300
6.05583191,0.00024809
6.10351563,0.00032841
6.15119934,0.00032944
6.19888306,0.00033992
6.24656677,0.00041230
6.29425049,0.00033964
6.34193420,0.00021966
6.38961792,0.00017647
6.43730164,0.00015963
6.48498535,0.00017968
6.53266907,0.00007080
6.58035278,0.00014414
6.62803650,0.00019189
6.67572021,0.00030787
6.72340393,0.00035077
6.77108765,0.00039216
6.81877136,0.00043127
6.86645508,0.00036984
6.91413879,0.00027789
6.96182251,0.00021763
7.00950623,0.00022616
7.05718994,0.00026273
7.10487366,0.00035680
7.15255737,0.00047104
7.20024109,0.00050218
7.24792480,0.00038648
7.29560852,0.00026411
7.34329224,0.00020176
7.39097595,0.00015316
7.43865967,0.00015409
7.48634338,0.00017131
7.53402710,0.00020342
7.58171082,0.00021814
7.62939453,0.00019755
7.67707825,0.00014379
7.72476196,0.00007965
7.77244568,0.00010675
7.82012939,0.00017739
7.86781311,0.00025153
7.91549683,0.00030891
7.96318054,0.00038534
8.01086426,0.00033156
8.05854797,0.00019135
8.10623169,0.00005990
8.15391541,0.00017027
8.20159912,0.00032628
8.24928284,0.00037604
8.29696655,0.00034841
8.34465027,0.00025701
8.39233398,0.00016244
8.44001770,0.00006513
8.48770142,0.00002702
8.53538513,0.00003427
8.58306885,0.00009421
8.63075256,0.00012410
8.67843628,0.00013224
8.72612000,0.00014150
8.77380371,0.00016629
8.82148743,0.00019267
8.86917114,0.00018640
8.91685486,0.00014602
8.96453857,0.00013810
9.01222229,0.00025342
9.05990601,0.00027716
9.10758972,0.00019014
9.15527344,0.00018933
9.20295715,0.00023694
9.25064087,0.00024492
9.29832458,0.00018041
9.34600830,0.00005182
9.39369202,0.00005611
9.44137573,0.00005192
9.48905945,0.00009070
9.53674316,0.00009347
9.58442688,0.00012253
9.63211060,0.00016436
9.67979431,0.00016479
9.72747803,0.00012362
9.77516174,0.00009262
9.82284546,0.00024425
9.87052917,0.00023354
9.91821289,0.00016221
9.96589661,0.00005487
10.01358032,0.00020388
10.06126404,0.00028364
10.10894775,0.00025016
10.15663147,0.00030266
10.20431519,0.00027816
10.25199890,0.00018707
10.29968262,0.00020161
10.34736633,0.00040483
10.39505005,0.00045865
10.44273376,0.00035012
10.49041748,0.00023990
10.53810120,0.00013744
10.58578491,0.00006970
10.63346863,0.00006299
10.68115234,0.00003446
10.72883606,0.00006006
10.77651978,0.00021958
10.82420349,0.00035464
10.87188721,0.00042947
10.91957092,0.00042957
10.96725464,0.00035733
11.01493835,0.00028520
11.06262207,0.00020761
11.11030579,0.00022313
11.15798950,0.00031644
11.20567322,0.00039046
11.25335693,0.00039971
11.30104065,0.00035869
11.34872437,0.00029250
11.39640808,0.00024803
11.44409180,0.00029033
11.49177551,0.00033360
11.53945923,0.00031578
11.58714294,0.00032262
11.63482666,0.00028256
11.68251038,0.00026582
11.73019409,0.00027349
11.77787781,0.00022437
11.82556152,0.00011172
11.87324524,0.00006738
11.92092896,0.00013070
11.96861267,0.00016352
12.01629639,0.00014070
12.06398010,0.00021132
12.11166382,0.00033251
12.15934753,0.00043899
12.20703125,0.00037350
12.25471497,0.00016981
12.30239868,0.00019099
12.35008240,0.00049656
12.39776611,0.00074291
12.44544983,0.00075678
12.49313354,0.00040841
12.54081726,0.00038466
12.58850098,0.00096644
12.63618469,0.00108335
12.68386841,0.00078239
12.73155212,0.00019753
12.77923584,0.00040955
12.82691956,0.00053753
12.87460327,0.00046756
12.92228699,0.00036974
12.96997070,0.00029919
13.01765442,0.00020640
13.06533813,0.00015975
13.11302185,0.00020763
13.16070557,0.00018656
13.20838928,0.00011480
13.25607300,0.00006967
13.30375671,0.00017175
13.35144043,0.00026858
13.39912415,0.00036137
13.44680786,0.00031445
13.49449158,0.00019927
13.54217529,0.00022773
13.58985901,0.00038868
13.63754272,0.00051209
13.68522644,0.00053136
13.73291016,0.00051640
13.78059387,0.00046726
13.82827759,0.00028771
13.87596130,0.00014692
13.92364502,0.00034955
13.97132874,0.00047470
14.01901245,0.00049098
14.06669617,0.00039834
14.11437988,0.00024033
14.16206360,0.00017606
14.20974731,0.00016924
14.25743103,0.00018727
14.30511475,0.00021570
14.35279846,0.00022314
14.40048218,0.00025310
14.44816589,0.00028171
14.49584961,0.00032133
14.54353333,0.00036993
14.59121704,0.00037879
14.63890076,0.00033178
14.68658447,0.00026424
14.73426819,0.00012453
14.78195190,0.00004448
14.82963562,0.00012673
14.87731934,0.00017836
14.92500305,0.00013351
14.97268677,0.00014895
15.02037048,0.00023436
15.06805420,0.00024799
15.11573792,0.00019927
15.16342163,0.00014666
15.21110535,0.00016522
15.25878906,0.00033729
15.30647278,0.00040023
15.35415649,0.00034155
15.40184021,0.00041610
15.44952393,0.00051652
15.49720764,0.00044529
15.54489136,0.00034994
15.59257507,0.00030873
15.64025879,0.00007865
15.68794250,0.00024235
15.73562622,0.00045656
15.78330994,0.00053604
15.83099365,0.00047233
15.87867737,0.00036883
15.92636108,0.00033522
15.97404480,0.00035163
16.02172852,0.00036564
16.06941223,0.00036517
16.11709595,0.00031014
16.16477966,0.00019314
16.21246338,0.00019226
16.26014709,0.00026591
16.30783081,0.00035108
16.35551453,0.00035830
16.40319824,0.00021888
16.45088196,0.00013419
16.49856567,0.00017248
16.54624939,0.00020665
16.59393311,0.00021912
16.64161682,0.00029242
16.68930054,0.00035063
16.73698425,0.00041619
16.78466797,0.00045220
16.83235168,0.00037280
16.88003540,0.00022026
16.92771912,0.00012578
16.97540283,0.00021634
17.02308655,0.00024488
17.07077026,0.00028587
17.11845398,0.00020576
17.16613770,0.00004258
17.21382141,0.00027084
17.26150513,0.00047859
17.30918884,0.00052350
17.35687256,0.00039495
17.40455627,0.00026226
17.45223999,0.00010314
17.49992371,0.00009822
17.54760742,0.00023427
17.59529114,0.00028997
17.64297485,0.00029772
17.69065857,0.00030551
17.73834229,0.00027842
17.78602600,0.00019691
17.83370972,0.00023663
17.88139343,0.00027112
17.92907715,0.00032340
17.97676086,0.00039307
18.02444458,0.00032934
18.07212830,0.00026235
18.11981201,0.00021549
18.16749573,0.00013527
18.21517944,0.00009788
18.26286316,0.00006014
18.31054688,0.00017191
18.35823059,0.00037265
18.40591431,0.00058442
18.45359802,0.00058339
18.50128174,0.00058496
18.54896545,0.00049912
18.59664917,0.00023025
18.64433289,0.00003575
18.69201660,0.00022542
18.73970032,0.00043935
18.78738403,0.00065593
18.83506775,0.00091186
18.88275146,0.00084266
18.93043518,0.00058605
18.97811890,0.00029410
19.02580261,0.00007606
19.07348633,0.00031110
19.12117004,0.00038073
19.16885376,0.00029677
19.21653748,0.00026521
19.26422119,0.00030585
19.31190491,0.00021310
19.35958862,0.00004337
19.40727234,0.00022426
19.45495605,0.00044932
19.50263977,0.00054717
19.55032349,0.00053916
19.59800720,0.00048232
19.64569092,0.00038433
19.69337463,0.00030389
19.74105835,0.00018883
19.78874207,0.00009562
19.83642578,0.00022000
19.88410950,0.00032592
19.93179321,0.00033695
19.97947693,0.00025633
20.02716064,0.00019496
20.07484436,0.00031094
20.12252808,0.00031523
20.17021179,0.00022596
20.21789551,0.00022044
20.26557922,0.00022576
20.31326294,0.00021468
20.36094666,0.00023696
20.40863037,0.00021442
20.45631409,0.00020064
20.50399780,0.00025778
20.55168152,0.00028066
20.59936523,0.00035673
20.64704895,0.00046072
20.69473267,0.00040237
20.74241638,0.00023253
20.79010010,0.00005625
20.83778381,0.00010615
20.88546753,0.00023741
20.93315125,0.00027836
20.98083496,0.00025081
21.02851868,0.00021774
21.07620239,0.00014381
21.12388611,0.00006004
21.17156982,0.00008660
21.21925354,0.00025273
21.26693726,0.00037469
21.31462097,0.00040052
21.36230469,0.00040066
21.40998840,0.00035122
21.45767212,0.00025091
21.50535583,0.00006798
21.55303955,0.00012015
21.60072327,0.00026155
21.64840698,0.00044214
21.69609070,0.00055611
21.74377441,0.00060429
21.79145813,0.00059988
21.83914185,0.00050595
21.88682556,0.00045325
21.93450928,0.00041201
21.98219299,0.00027197
22.02987671,0.00011799
22.07756042,0.00002868
22.12524414,0.00013252
22.17292786,0.00025159
22.22061157,0.00026612
22.26829529,0.00015292
22.31597900,0.00006699
22.36366272,0.00004188
22.41134644,0.00006694
22.45903015,0.00006416
22.50671387,0.00009171
22.55439758,0.00009728
22.60208130,0.00005744
22.64976501,0.00010419
22.69744873,0.00018734
22.74513245,0.00025708
22.79281616,0.00033109
22.84049988,0.00038001
22.88818359,0.00043079
22.93586731,0.00042201
22.98355103,0.00038371
23.03123474,0.00035748
23.07891846,0.00035136
23.12660217,0.00031569
23.17428589,0.00021298
23.22196960,0.00014573
23.26965332,0.00017485
23.31733704,0.00032093
23.36502075,0.00031117
23.41270447,0.00022901
23.46038818,0.00023053
23.50807190,0.00031359
23.55575562,0.00032390
23.60343933,0.00013401
23.65112305,0.00006447
23.69880676,0.00012700
23.74649048,0.00012740
23.79417419,0.00015528
23.84185791,0.00018789
23.88954163,0.00014684
23.93722534,0.00007249
23.98490906,0.00008322
24.03259277,0.00018640
24.08027649,0.00020318
24.12796021,0.00020826
24.17564392,0.00019998
24.22332764,0.00009210
24.27101135,0.00011341
24.31869507,0.00027255
24.36637878,0.00032045
24.41406250,0.00028360
24.46174622,0.00024345
24.50942993,0.00021141
24.55711365,0.00024741
24.60479736,0.00026448
24.65248108,0.00028179
24.70016479,0.00032834
24.74784851,0.00041756
24.79553223,0.00022224
24.84321594,0.00028426
24.89089966,0.00065100
24.93858337,0.00088039
24.98626709,0.00117258
25.03395081,0.00102047
25.08163452,0.00061541
25.12931824,0.00027725
25.17700195,0.00018793
25.22468567,0.00027352
25.27236938,0.00025350
25.32005310,0.00025857
25.36773682,0.00016608
25.41542053,0.00021670
25.46310425,0.00027578
25.51078796,0.00027594
25.55847168,0.00018568
25.60615540,0.00019334
25.65383911,0.00029193
25.70152283,0.00026925
25.74920654,0.00017011
25.79689026,0.00006769
25.84457397,0.00012755
25.89225769,0.00013391
25.93994141,0.00017265
25.98762512,0.00017885
26.03530884,0.00021878
26.08299255,0.00018272
26.13067627,0.00017486
26.17835999,0.00019392
26.22604370,0.00013180
26.27372742,0.00008822
26.32141113,0.00011248
26.36909485,0.00011930
26.41677856,0.00020922
26.46446228,0.00026777
26.51214600,0.00020998
26.55982971,0.00013164
26.60751343,0.00010834
26.65519714,0.00017099
26.70288086,0.00010629
26.75056458,0.00007583
26.79824829,0.00005936
26.84593201,0.00012735
26.89361572,0.00024356
26.94129944,0.00024030
26.98898315,0.00020794
27.03666687,0.00018408
27.08435059,0.00013522
27.13203430,0.00013329
27.17971802,0.00009414
27.22740173,0.00013271
27.27508545,0.00028376
27.32276917,0.00037714
27.37045288,0.00035637
27.41813660,0.00036847
27.46582031,0.00032599
27.51350403,0.00018268
27.56118774,0.00010694
27.60887146,0.00006050
27.65655518,0.00005356
27.70423889,0.00021414
