U_c, V;\sigma{U_c}, V;f, kHz;\sigma_f, kHz
2,0184;0,01;18,642;0,001
2,187;0,01;18,732;0,001
2,3754;0,01;18,822;0,001
2,5338;0,01;18,892;0,001
2,6987;0,01;18,962;0,001
2,8628;0,01;19,032;0,001
3,0373;0,01;19,112;0,001
3,1956;0,01;19,202;0,001
3,3089;0,01;19,382;0,001
3,1945;0,01;19,522;0,001
3,0187;0,01;19,632;0,001
2,6477;0,01;19,822;0,001
2,4508;0,01;19,922;0,001
2,2823;0,01;20,012;0,001
2,1085;0,01;20,112;0,001
2,0117;0,01;20,172;0,001
