Частота,Канал A
(kГц),(В)

0.00000000,2.04080000
0.00596046,1.40501000
0.01192093,0.94900510
0.01788139,0.29411420
0.02384186,0.02677363
0.02980232,0.00484036
0.03576279,0.00554106
0.04172325,0.00563776
0.04768372,0.00474570
0.05364418,0.00224751
0.05960464,0.00071307
0.06556511,0.00143303
0.07152557,0.00219069
0.07748604,0.00224497
0.08344650,0.00229081
0.08940697,0.00144454
0.09536743,0.00051017
0.10132790,0.00029761
0.10728836,0.00073582
0.11324883,0.00102109
0.11920929,0.00103738
0.12516975,0.00101867
0.13113022,0.00057683
0.13709068,0.00067753
0.14305115,0.00167248
0.14901161,0.00219701
0.15497208,0.00222264
0.16093254,0.00199921
0.16689301,0.00118597
0.17285347,0.00027349
0.17881393,0.00045197
0.18477440,0.00068504
0.19073486,0.00080360
0.19669533,0.00072399
0.20265579,0.00063835
0.20861626,0.00019121
0.21457672,0.00047159
0.22053719,0.00139963
0.22649765,0.00180376
0.23245811,0.00184069
0.23841858,0.00167441
0.24437904,0.00095957
0.25033951,0.00066133
0.25629997,0.00193374
0.26226044,0.00324448
0.26822090,0.00332827
0.27418137,0.00326359
0.28014183,0.00232351
0.28610229,0.00076959
0.29206276,0.00019778
0.29802322,0.00031564
0.30398369,0.00037796
0.30994415,0.00028271
0.31590462,0.00027177
0.32186508,0.00029699
0.32782555,0.00314399
0.33378601,0.01053171
0.33974648,0.01625381
0.34570694,0.01693137
0.35166740,0.01652285
0.35762787,0.01167303
0.36358833,0.00410010
0.36954880,0.00145908
0.37550926,0.00271157
0.38146973,0.00309640
0.38743019,0.00310967
0.39339066,0.00259910
0.39935112,0.00131410
0.40531158,0.00048230
0.41127205,0.00102940
0.41723251,0.00137191
0.42319298,0.00136027
0.42915344,0.00128939
0.43511391,0.00083132
0.44107437,0.00029854
0.44703484,0.00105202
0.45299530,0.00198373
0.45895576,0.00231315
0.46491623,0.00227730
0.47087669,0.00198749
0.47683716,0.00089908
0.48279762,0.00039073
0.48875809,0.00056308
0.49471855,0.00076416
0.50067902,0.00067358
0.50663948,0.00063180
0.51259995,0.00035913
0.51856041,0.00006638
0.52452087,0.00081359
0.53048134,0.00158701
0.53644180,0.00175768
0.54240227,0.00176670
0.54836273,0.00143874
0.55432320,0.00067392
0.56028366,0.00073054
0.56624413,0.00199613
0.57220459,0.00259452
0.57816505,0.00270185
0.58412552,0.00250588
0.59008598,0.00161491
0.59604645,0.00049426
0.60200691,0.00026726
0.60796738,0.00042788
0.61392784,0.00050738
0.61988831,0.00055353
0.62584877,0.00047094
0.63180923,0.00098250
0.63776970,0.00567662
0.64373016,0.01365410
0.64969063,0.01729592
0.65565109,0.01742722
0.66161156,0.01592501
0.66757202,0.00892329
0.67353249,0.00201448
0.67949295,0.00310111
0.68545341,0.00515431
0.69141388,0.00554420
0.69737434,0.00540450
0.70333481,0.00400822
0.70929527,0.00136361
0.71525574,0.00040065
0.72121620,0.00130475
0.72717667,0.00162453
0.73313713,0.00174847
0.73909760,0.00157582
0.74505806,0.00086953
0.75101852,0.00057530
0.75697899,0.00159305
0.76293945,0.00245039
0.76889992,0.00247916
0.77486038,0.00240308
0.78082085,0.00156817
0.78678131,0.00041953
0.79274178,0.00021265
0.79870224,0.00055277
0.80466270,0.00058919
0.81062317,0.00066690
0.81658363,0.00047770
0.82254410,0.00030449
0.82850456,0.00035168
0.83446503,0.00114309
0.84042549,0.00172758
0.84638596,0.00179319
0.85234642,0.00177613
0.85830688,0.00119088
0.86426735,0.00059371
0.87022781,0.00127914
0.87618828,0.00201432
0.88214874,0.00228170
0.88810921,0.00205018
0.89406967,0.00167263
0.90003014,0.00050386
0.90599060,0.00008850
0.91195107,0.00051831
0.91791153,0.00042486
0.92387199,0.00054461
0.92983246,0.00025136
0.93579292,0.00027847
0.94175339,0.00073226
0.94771385,0.00286331
0.95367432,0.00539631
0.95963478,0.00579490
0.96559525,0.00584513
0.97155571,0.00442531
0.97751617,0.03589455
0.98347664,0.29525230
0.98943710,0.77458830
0.99539757,1.01719000
1.00135803,1.03005200
1.00731850,0.95586240
1.01327896,0.56068920
1.01923943,0.13772990
1.02519989,0.00793209
1.03116035,0.00298861
1.03712082,0.00315762
1.04308128,0.00325720
1.04904175,0.00247159
1.05500221,0.00104443
1.06096268,0.00108593
1.06692314,0.00237734
1.07288361,0.00318382
1.07884407,0.00318987
1.08480453,0.00302837
1.09076500,0.00166448
1.09672546,0.00054704
1.10268593,0.00044993
1.10864639,0.00058600
1.11460686,0.00054863
1.12056732,0.00048796
1.12652779,0.00028740
1.13248825,0.00007337
1.13844872,0.00061893
1.14440918,0.00149835
1.15036964,0.00177550
1.15633011,0.00175991
1.16229057,0.00146951
1.16825104,0.00072158
1.17421150,0.00039179
1.18017197,0.00119694
1.18613243,0.00180603
1.19209290,0.00184895
1.19805336,0.00179981
1.20401382,0.00120759
1.20997429,0.00036053
1.21593475,0.00020205
1.22189522,0.00038659
1.22785568,0.00046850
1.23381615,0.00039162
1.23977661,0.00034358
1.24573708,0.00017043
1.25169754,0.00084719
1.25765800,0.00253260
1.26361847,0.00362945
1.26957893,0.00368495
1.27553940,0.00348458
1.28149986,0.00226920
1.28746033,0.00086227
1.29342079,0.00239799
1.29938126,0.00448735
1.30534172,0.00513133
1.31130219,0.00507697
1.31726265,0.00428469
1.32322311,0.00211056
1.32918358,0.00280740
1.33514404,0.00731304
1.34110451,0.00992807
1.34706497,0.01003411
1.35302544,0.00947672
1.35898590,0.00589890
1.36494637,0.00190551
1.37090683,0.00235799
1.37686729,0.00414735
1.38282776,0.00456156
1.38878822,0.00445135
1.39474869,0.00354121
1.40070915,0.00143899
1.40666962,0.00026195
1.41263008,0.00019676
1.41859055,0.00042613
1.42455101,0.00045228
1.43051147,0.00048124
1.43647194,0.00030184
1.44243240,0.00026771
1.44839287,0.00105346
1.45435333,0.00181655
1.46031380,0.00193540
1.46627426,0.00197830
1.47223473,0.00155417
1.47819519,0.00074144
1.48415565,0.00075940
1.49011612,0.00156886
1.49607658,0.00184189
1.50203705,0.00182694
1.50799751,0.00160522
1.51395798,0.00091481
1.51991844,0.00014792
1.52587891,0.00023219
1.53183937,0.00050667
1.53779984,0.00056423
1.54376030,0.00060084
1.54972076,0.00046805
1.55568123,0.00032055
1.56164169,0.00115607
1.56760216,0.00245530
1.57356262,0.00296338
1.57952309,0.00295311
1.58548355,0.00263486
1.59144402,0.00139409
1.59740448,0.00069398
1.60336494,0.00157114
1.60932541,0.00230357
1.61528587,0.00231856
1.62124634,0.00221152
1.62720680,0.00145839
1.63316727,0.00091151
1.63912773,0.00475245
1.64508820,0.00967371
1.65104866,0.01118371
1.65700912,0.01117548
1.66296959,0.00948964
1.66893005,0.00452018
1.67489052,0.00182616
1.68085098,0.00583470
1.68681145,0.00835671
1.69277191,0.00857331
1.69873238,0.00817169
1.70469284,0.00526997
1.71065331,0.00154862
1.71661377,0.00050669
1.72257423,0.00063212
1.72853470,0.00067971
1.73449516,0.00056059
1.74045563,0.00043664
1.74641609,0.00016425
1.75237656,0.00062268
1.75833702,0.00166363
1.76429749,0.00218640
1.77025795,0.00213774
1.77621841,0.00193598
1.78217888,0.00104696
1.78813934,0.00028061
1.79409981,0.00084013
1.80006027,0.00163506
1.80602074,0.00177078
1.81198120,0.00180523
1.81794167,0.00135336
1.82390213,0.00060933
1.82986259,0.00019686
1.83582306,0.00049961
1.84178352,0.00068934
1.84774399,0.00069662
1.85370445,0.00069116
1.85966492,0.00047723
1.86562538,0.00057225
1.87158585,0.00164357
1.87754631,0.00241989
1.88350677,0.00259464
1.88946724,0.00233762
1.89542770,0.00171768
1.90138817,0.00043611
1.90734863,0.00057200
1.91330910,0.00111530
1.91926956,0.00159682
1.92523003,0.00150202
1.93119049,0.00161810
1.93715096,0.00073792
1.94311142,0.00075375
1.94907188,0.00223568
1.95503235,0.00373498
1.96099281,0.00375311
1.96695328,0.00381960
1.97291374,0.00262728
1.97887421,0.05331073
1.98483467,0.32098720
1.99079514,0.69738190
1.99675560,0.83075860
2.00271606,0.83226850
2.00867653,0.72546010
2.01463699,0.36244840
2.02059746,0.06902961
2.02655792,0.00285258
2.03251839,0.00035812
2.03847885,0.00060388
2.04443932,0.00027839
2.05039978,0.00033222
2.05636024,0.00008644
2.06232071,0.00127102
2.06828117,0.00234499
2.07424164,0.00294061
2.08020210,0.00285678
2.08616257,0.00256730
2.09212303,0.00116818
2.09808350,0.00067783
2.10404396,0.00131578
2.11000443,0.00189689
2.11596489,0.00186093
2.12192535,0.00180613
2.12788582,0.00105967
2.13384628,0.00026291
2.13980675,0.00026331
2.14576721,0.00059720
2.15172768,0.00064403
2.15768814,0.00059596
2.16364861,0.00041875
2.16960907,0.00015970
2.17556953,0.00062378
2.18153000,0.00170063
2.18749046,0.00220230
2.19345093,0.00224295
2.19941139,0.00204580
2.20537186,0.00119068
2.21133232,0.00027758
2.21729279,0.00052615
2.22325325,0.00101886
2.22921371,0.00119446
2.23517418,0.00122668
2.24113464,0.00099409
2.24709511,0.00041095
2.25305557,0.00078588
2.25901604,0.00200690
2.26497650,0.00257809
2.27093697,0.00257915
2.27689743,0.00234457
2.28285789,0.00135872
2.28881836,0.00141690
2.29477882,0.00492885
2.30073929,0.00809173
2.30669975,0.00863723
2.31266022,0.00849768
2.31862068,0.00638874
2.32458115,0.00245129
2.33054161,0.00044872
2.33650208,0.00040824
2.34246254,0.00055300
2.34842300,0.00058400
2.35438347,0.00049833
2.36034393,0.00017973
2.36630440,0.00066020
2.37226486,0.00260974
2.37822533,0.00406150
2.38418579,0.00423731
2.39014626,0.00409862
2.39610672,0.00291497
2.40206718,0.00100378
2.40802765,0.00067416
2.41398811,0.00164311
2.41994858,0.00206194
2.42590904,0.00210884
2.43186951,0.00186897
2.43782997,0.00098816
2.44379044,0.00030020
2.44975090,0.00056311
2.45571136,0.00084621
2.46167183,0.00086157
2.46763229,0.00091150
2.47359276,0.00070051
2.47955322,0.00050268
2.48551369,0.00110762
2.49147415,0.00206286
2.49743462,0.00227608
2.50339508,0.00225040
2.50935555,0.00189663
2.51531601,0.00094917
2.52127647,0.00047651
2.52723694,0.00076611
2.53319740,0.00090871
2.53915787,0.00084629
2.54511833,0.00074222
2.55107880,0.00040006
2.55703926,0.00022062
2.56299973,0.00108974
2.56896019,0.00192250
2.57492065,0.00213600
2.58088112,0.00209532
2.58684158,0.00171735
2.59280205,0.00080559
2.59876251,0.00130718
2.60472298,0.00321938
2.61068344,0.00422749
2.61664391,0.00422491
2.62260437,0.00392258
2.62856483,0.00226455
2.63452530,0.00042533
2.64048576,0.00032270
2.64644623,0.00052655
2.65240669,0.00054536
2.65836716,0.00049113
2.66432762,0.00037808
2.67028809,0.00034424
2.67624855,0.00263073
2.68220901,0.00651901
2.68816948,0.00828182
2.69412994,0.00830646
2.70009041,0.00752751
2.70605087,0.00417446
2.71201134,0.00121669
2.71797180,0.00172387
2.72393227,0.00263126
2.72989273,0.00274335
2.73585320,0.00262703
2.74181366,0.00190205
2.74777412,0.00066593
2.75373459,0.00042269
2.75969505,0.00090610
2.76565552,0.00100510
2.77161598,0.00089940
2.77757645,0.00069516
2.78353691,0.00021170
2.78949738,0.00039595
2.79545784,0.00135521
2.80141830,0.00217031
2.80737877,0.00229934
2.81333923,0.00223446
2.81929970,0.00156225
2.82526016,0.00056724
2.83122063,0.00031256
2.83718109,0.00059827
2.84314156,0.00069300
2.84910202,0.00068604
2.85506248,0.00054181
2.86102295,0.00022508
2.86698341,0.00050303
2.87294388,0.00140039
2.87890434,0.00190644
2.88486481,0.00193104
2.89082527,0.00172194
2.89678574,0.00107456
2.90274620,0.00036966
2.90870667,0.00135559
2.91466713,0.00257134
2.92062759,0.00302629
2.92658806,0.00300747
2.93254852,0.00263259
2.93850899,0.00118923
2.94446945,0.00035099
2.95042992,0.00013000
2.95639038,0.00034976
2.96235085,0.00027292
2.96831131,0.00038965
2.97427177,0.00283583
2.98023224,0.05977996
2.98619270,0.27352730
2.99215317,0.50166650
2.99811363,0.55510300
3.00407410,0.55142490
3.01003456,0.44084980
3.01599503,0.18413100
3.02195549,0.02669495
3.02791595,0.00312908
3.03387642,0.00371957
3.03983688,0.00387344
3.04579735,0.00347270
3.05175781,0.00210268
3.05771828,0.00040821
3.06367874,0.00078396
3.06963921,0.00122650
3.07559967,0.00151615
3.08156013,0.00142930
3.08752060,0.00121198
3.09348106,0.00046310
3.09944153,0.00089171
3.10540199,0.00191802
3.11136246,0.00253789
3.11732292,0.00250671
3.12328339,0.00234086
3.12924385,0.00125120
3.13520432,0.00042146
3.14116478,0.00048419
3.14712524,0.00069869
3.15308571,0.00077889
3.15904617,0.00080166
3.16500664,0.00064500
3.17096710,0.00033368
3.17692757,0.00069078
3.18288803,0.00153536
3.18884850,0.00174326
3.19480896,0.00177325
3.20076942,0.00146065
3.20672989,0.00070230
3.21269035,0.00031826
3.21865082,0.00135243
3.22461128,0.00219161
3.23057175,0.00240720
3.23653221,0.00237435
3.24249268,0.00171127
3.24845314,0.00058318
3.25441360,0.00017200
3.26037407,0.00036279
3.26633453,0.00046905
3.27229500,0.00044850
3.27825546,0.00040720
3.28421593,0.00032695
3.29017639,0.00201959
3.29613686,0.00601834
3.30209732,0.00866248
3.30805779,0.00886922
3.31401825,0.00853375
3.31997871,0.00562633
3.32593918,0.00180347
3.33189964,0.00485854
3.33786011,0.00943685
3.34382057,0.01070031
3.34978104,0.01068301
3.35574150,0.00879310
3.36170197,0.00385260
3.36766243,0.00059496
3.37362289,0.00166886
3.37958336,0.00230984
3.38554382,0.00231171
3.39150429,0.00219496
3.39746475,0.00135515
3.40342522,0.00046593
3.40938568,0.00131171
3.41534615,0.00256144
3.42130661,0.00291281
3.42726707,0.00293070
3.43322754,0.00237313
3.43918800,0.00107432
3.44514847,0.00035095
3.45110893,0.00045265
3.45706940,0.00059806
3.46302986,0.00058703
