Частота,Канал A
(kГц),(В)

0.00000000,2.42813200
0.00596046,1.67169100
0.01192093,1.12903200
0.01788139,0.34965110
0.02384186,0.03052864
0.02980232,0.00039830
0.03576279,0.00067430
0.04172325,0.00050669
0.04768372,0.00065713
0.05364418,0.00017837
0.05960464,0.00007159
0.06556511,0.00050425
0.07152557,0.00058635
0.07748604,0.00078494
0.08344650,0.00059025
0.08940697,0.00051348
0.09536743,0.00004459
0.10132790,0.00028711
0.10728836,0.00072493
0.11324883,0.00068625
0.11920929,0.00081836
0.12516975,0.00057399
0.13113022,0.00030829
0.13709068,0.00025531
0.14305115,0.00060076
0.14901161,0.00091163
0.15497208,0.00081974
0.16093254,0.00083835
0.16689301,0.00042809
0.17285347,0.00010485
0.17881393,0.00054812
0.18477440,0.00086165
0.19073486,0.00097851
0.19669533,0.00092291
0.20265579,0.00076344
0.20861626,0.00020076
0.21457672,0.00038918
0.22053719,0.00115858
0.22649765,0.00145640
0.23245811,0.00154168
0.23841858,0.00142963
0.24437904,0.00089810
0.25033951,0.00007903
0.25629997,0.00129030
0.26226044,0.00226050
0.26822090,0.00242729
0.27418137,0.00244680
0.28014183,0.00181003
0.28610229,0.00042328
0.29206276,0.00225707
0.29802322,0.00537070
0.30398369,0.00658065
0.30994415,0.00661017
0.31590462,0.00587344
0.32186508,0.00324616
0.32782555,0.00306134
0.33378601,0.00873104
0.33974648,0.01355477
0.34570694,0.01425233
0.35166740,0.01388559
0.35762787,0.00977004
0.36358833,0.00293509
0.36954880,0.00133117
0.37550926,0.00351472
0.38146973,0.00409725
0.38743019,0.00408949
0.39339066,0.00351263
0.39935112,0.00168948
0.40531158,0.00033319
0.41127205,0.00176928
0.41723251,0.00262274
0.42319298,0.00268644
0.42915344,0.00257491
0.43511391,0.00162770
0.44107437,0.00028073
0.44703484,0.00104536
0.45299530,0.00200855
0.45895576,0.00225125
0.46491623,0.00218090
0.47087669,0.00183583
0.47683716,0.00075584
0.48279762,0.00035789
0.48875809,0.00145374
0.49471855,0.00199793
0.50067902,0.00206125
0.50663948,0.00192067
0.51259995,0.00120748
0.51856041,0.00009909
0.52452087,0.00108094
0.53048134,0.00207747
0.53644180,0.00229421
0.54240227,0.00235073
0.54836273,0.00193865
0.55432320,0.00078461
0.56028366,0.00063900
0.56624413,0.00211984
0.57220459,0.00291886
0.57816505,0.00298066
0.58412552,0.00276963
0.59008598,0.00162378
0.59604645,0.00025507
0.60200691,0.00253782
0.60796738,0.00440613
0.61392784,0.00477327
0.61988831,0.00475133
0.62584877,0.00365640
0.63180923,0.00070523
0.63776970,0.00544359
0.64373016,0.01388256
0.64969063,0.01761105
0.65565109,0.01772990
0.66161156,0.01610636
0.66757202,0.00898292
0.67353249,0.00325248
0.67949295,0.00506077
0.68545341,0.00812494
0.69141388,0.00864965
0.69737434,0.00850432
0.70333481,0.00626363
0.70929527,0.00208381
0.71525574,0.00102109
0.72121620,0.00284655
0.72717667,0.00345377
0.73313713,0.00344621
0.73909760,0.00302693
0.74505806,0.00148054
0.75101852,0.00025188
0.75697899,0.00154251
0.76293945,0.00228490
0.76889992,0.00232770
0.77486038,0.00225056
0.78082085,0.00154311
0.78678131,0.00039782
0.79274178,0.00064589
0.79870224,0.00146885
0.80466270,0.00173887
0.81062317,0.00171033
0.81658363,0.00150920
0.82254410,0.00069275
0.82850456,0.00022454
0.83446503,0.00113671
0.84042549,0.00159934
0.84638596,0.00171460
0.85234642,0.00160240
0.85830688,0.00109105
0.86426735,0.00017632
0.87022781,0.00074006
0.87618828,0.00159479
0.88214874,0.00169546
0.88810921,0.00176412
0.89406967,0.00138636
0.90003014,0.00062001
0.90599060,0.00053383
0.91195107,0.00141893
0.91791153,0.00212978
0.92387199,0.00202963
0.92983246,0.00204164
0.93579292,0.00107296
0.94175339,0.00007160
0.94771385,0.00183113
0.95367432,0.00289990
0.95963478,0.00351861
0.96559525,0.00309437
0.97155571,0.00315987
0.97751617,0.02924379
0.98347664,0.22810760
0.98943710,0.59776220
0.99539757,0.78493190
1.00135803,0.79484160
1.00731850,0.73764050
1.01327896,0.43271100
1.01923943,0.10613940
1.02519989,0.00521495
1.03116035,0.00225765
1.03712082,0.00213962
1.04308128,0.00231494
1.04904175,0.00155098
1.05500221,0.00063805
1.06096268,0.00030355
1.06692314,0.00068242
1.07288361,0.00088409
1.07884407,0.00080875
1.08480453,0.00078143
1.09076500,0.00036929
1.09672546,0.00001648
1.10268593,0.00026095
1.10864639,0.00037540
1.11460686,0.00038929
1.12056732,0.00036852
1.12652779,0.00025183
1.13248825,0.00010278
1.13844872,0.00003521
1.14440918,0.00009653
1.15036964,0.00013605
1.15633011,0.00014064
1.16229057,0.00015492
1.16825104,0.00006681
1.17421150,0.00003781
1.18017197,0.00001218
1.18613243,0.00003131
1.19209290,0.00007699
1.19805336,0.00006137
1.20401382,0.00007176
1.20997429,0.00005818
1.21593475,0.00013823
1.22189522,0.00026227
1.22785568,0.00035728
1.23381615,0.00036287
1.23977661,0.00039798
1.24573708,0.00023367
1.25169754,0.00004487
1.25765800,0.00052297
1.26361847,0.00080339
1.26957893,0.00089641
1.27553940,0.00088460
1.28149986,0.00062881
1.28746033,0.00016283
1.29342079,0.00137650
1.29938126,0.00274179
1.30534172,0.00310042
1.31130219,0.00310488
1.31726265,0.00252927
1.32322311,0.00131770
1.32918358,0.00208473
1.33514404,0.00551200
1.34110451,0.00756379
1.34706497,0.00774546
1.35302544,0.00728031
1.35898590,0.00444822
1.36494637,0.00086308
1.37090683,0.00124373
1.37686729,0.00236110
1.38282776,0.00255312
1.38878822,0.00249748
1.39474869,0.00196516
1.40070915,0.00071272
1.40666962,0.00048100
1.41263008,0.00141397
1.41859055,0.00181081
1.42455101,0.00184016
1.43051147,0.00164010
1.43647194,0.00089278
1.44243240,0.00011289
1.44839287,0.00097259
1.45435333,0.00159994
1.46031380,0.00164034
1.46627426,0.00161092
1.47223473,0.00118794
1.47819519,0.00036070
1.48415565,0.00051521
1.49011612,0.00128036
1.49607658,0.00160766
1.50203705,0.00157271
1.50799751,0.00141135
1.51395798,0.00070933
1.51991844,0.00015820
1.52587891,0.00114403
1.53183937,0.00179005
1.53779984,0.00192429
1.54376030,0.00192280
1.54972076,0.00146137
1.55568123,0.00039670
1.56164169,0.00082615
1.56760216,0.00210655
1.57356262,0.00258814
1.57952309,0.00263488
1.58548355,0.00227572
1.59144402,0.00110875
1.59740448,0.00068777
1.60336494,0.00285007
1.60932541,0.00428254
1.61528587,0.00442338
1.62124634,0.00432464
1.62720680,0.00291116
1.63316727,0.00044052
1.63912773,0.00722488
1.64508820,0.01499646
1.65104866,0.01738455
1.65700912,0.01733099
1.66296959,0.01467609
1.66893005,0.00702506
1.67489052,0.00309768
1.68085098,0.00601705
1.68681145,0.00854172
1.69277191,0.00879680
1.69873238,0.00842083
1.70469284,0.00548490
1.71065331,0.00130474
1.71661377,0.00157813
1.72257423,0.00329491
1.72853470,0.00369195
1.73449516,0.00368936
1.74045563,0.00297982
1.74641609,0.00118311
1.75237656,0.00061693
1.75833702,0.00197843
1.76429749,0.00263911
1.77025795,0.00262424
1.77621841,0.00247428
1.78217888,0.00146697
1.78813934,0.00017702
1.79409981,0.00106245
1.80006027,0.00191629
1.80602074,0.00212787
1.81198120,0.00206737
1.81794167,0.00167787
1.82390213,0.00057674
1.82986259,0.00054104
1.83582306,0.00165535
1.84178352,0.00207941
1.84774399,0.00218215
1.85370445,0.00193250
1.85966492,0.00113543
1.86562538,0.00016307
1.87158585,0.00129148
1.87754631,0.00227369
1.88350677,0.00229579
1.88946724,0.00235840
1.89542770,0.00167454
1.90138817,0.00053282
1.90734863,0.00107231
1.91330910,0.00235721
1.91926956,0.00312402
1.92523003,0.00296130
1.93119049,0.00280465
1.93715096,0.00124964
1.94311142,0.00049313
1.94907188,0.00345038
1.95503235,0.00492931
1.96099281,0.00557484
1.96695328,0.00497999
1.97291374,0.00518141
1.97887421,0.04685954
1.98483467,0.27301990
1.99079514,0.59276980
1.99675560,0.70608620
2.00271606,0.70738750
2.00867653,0.61664480
2.01463699,0.30805390
2.02059746,0.05777902
2.02655792,0.00087019
2.03251839,0.00468408
2.03847885,0.00439203
2.04443932,0.00460842
2.05039978,0.00279911
2.05636024,0.00086481
2.06232071,0.00102636
2.06828117,0.00185207
2.07424164,0.00227809
2.08020210,0.00210950
2.08616257,0.00189369
2.09212303,0.00071690
2.09808350,0.00018092
2.10404396,0.00106518
2.11000443,0.00137032
2.11596489,0.00146347
2.12192535,0.00130860
2.12788582,0.00088436
2.13384628,0.00011699
2.13980675,0.00046534
2.14576721,0.00099880
2.15172768,0.00108130
2.15768814,0.00114662
2.16364861,0.00090423
2.16960907,0.00040255
2.17556953,0.00020618
2.18153000,0.00072545
2.18749046,0.00104312
2.19345093,0.00105300
2.19941139,0.00100825
2.20537186,0.00060313
2.21133232,0.00011209
2.21729279,0.00048717
2.22325325,0.00082656
2.22921371,0.00088882
2.23517418,0.00084004
2.24113464,0.00060451
2.24709511,0.00013501
2.25305557,0.00034076
2.25901604,0.00075947
2.26497650,0.00091785
2.27093697,0.00087351
2.27689743,0.00076050
2.28285789,0.00036780
2.28881836,0.00015766
2.29477882,0.00069011
2.30073929,0.00107085
2.30669975,0.00111690
2.31266022,0.00108379
2.31862068,0.00082817
2.32458115,0.00033035
2.33054161,0.00022164
2.33650208,0.00031025
2.34246254,0.00034225
2.34842300,0.00030700
2.35438347,0.00032175
2.36034393,0.00021751
2.36630440,0.00018904
2.37226486,0.00032966
2.37822533,0.00048650
2.38418579,0.00044438
2.39014626,0.00041702
2.39610672,0.00025813
2.40206718,0.00001620
2.40802765,0.00028935
2.41398811,0.00050312
2.41994858,0.00059359
2.42590904,0.00056448
2.43186951,0.00045294
2.43782997,0.00015726
2.44379044,0.00017127
2.44975090,0.00055341
2.45571136,0.00072439
2.46167183,0.00072219
2.46763229,0.00066946
2.47359276,0.00043896
2.47955322,0.00006080
2.48551369,0.00036395
2.49147415,0.00072245
2.49743462,0.00078721
2.50339508,0.00075813
2.50935555,0.00059164
2.51531601,0.00022651
2.52127647,0.00025153
2.52723694,0.00077087
2.53319740,0.00106905
2.53915787,0.00111147
2.54511833,0.00112025
2.55107880,0.00075509
2.55703926,0.00011697
2.56299973,0.00070335
2.56896019,0.00146089
2.57492065,0.00169753
2.58088112,0.00169777
2.58684158,0.00135845
2.59280205,0.00047514
2.59876251,0.00083510
2.60472298,0.00234534
2.61068344,0.00309753
2.61664391,0.00313075
2.62260437,0.00293349
2.62856483,0.00167456
2.63452530,0.00119952
2.64048576,0.00696177
2.64644623,0.01217241
2.65240669,0.01320172
2.65836716,0.01302860
2.66432762,0.01003643
2.67028809,0.00414515
2.67624855,0.00266121
2.68220901,0.00545443
2.68816948,0.00695374
2.69412994,0.00703010
2.70009041,0.00644623
2.70605087,0.00363123
2.71201134,0.00049810
2.71797180,0.00171651
2.72393227,0.00291832
2.72989273,0.00312710
2.73585320,0.00307857
2.74181366,0.00225501
2.74777412,0.00063915
2.75373459,0.00083700
2.75969505,0.00198659
2.76565552,0.00237734
2.77161598,0.00237240
2.77757645,0.00208746
2.78353691,0.00107408
2.78949738,0.00011701
2.79545784,0.00123107
2.80141830,0.00193235
2.80737877,0.00200862
2.81333923,0.00196383
2.81929970,0.00139147
2.82526016,0.00034262
2.83122063,0.00081278
2.83718109,0.00179640
2.84314156,0.00212145
2.84910202,0.00214317
2.85506248,0.00180969
2.86102295,0.00083590
2.86698341,0.00041769
2.87294388,0.00167096
2.87890434,0.00243686
2.88486481,0.00243129
2.89082527,0.00237483
2.89678574,0.00152335
2.90274620,0.00020842
2.90870667,0.00151312
2.91466713,0.00288714
2.92062759,0.00340262
2.92658806,0.00328246
2.93254852,0.00279718
2.93850899,0.00101144
2.94446945,0.00127718
2.95042992,0.00455339
2.95639038,0.00598489
2.96235085,0.00635786
2.96831131,0.00572674
2.97427177,0.00674490
2.98023224,0.06311905
2.98619270,0.28402010
2.99215317,0.52069500
2.99811363,0.57613860
3.00407410,0.57232790
3.01003456,0.45762130
3.01599503,0.19092290
3.02195549,0.02570390
3.02791595,0.00378701
3.03387642,0.00603395
3.03983688,0.00577617
3.04579735,0.00563604
3.05175781,0.00307469
3.05771828,0.00050473
3.06367874,0.00173267
3.06963921,0.00278632
3.07559967,0.00312486
3.08156013,0.00296457
3.08752060,0.00233661
3.09348106,0.00069956
3.09944153,0.00058778
3.10540199,0.00176526
3.11136246,0.00211693
3.11732292,0.00217082
3.12328339,0.00190597
3.12924385,0.00107547
3.13520432,0.00005862
3.14116478,0.00101800
3.14712524,0.00173264
3.15308571,0.00182197
3.15904617,0.00184969
3.16500664,0.00133608
3.17096710,0.00042427
3.17692757,0.00058934
3.18288803,0.00147621
3.18884850,0.00184721
3.19480896,0.00185254
3.20076942,0.00166118
3.20672989,0.00083760
3.21269035,0.00021753
3.21865082,0.00123478
3.22461128,0.00185685
3.23057175,0.00193088
3.23653221,0.00184677
3.24249268,0.00124057
3.24845314,0.00019086
3.25441360,0.00105156
3.26037407,0.00217453
3.26633453,0.00250097
3.27229500,0.00245551
3.27825546,0.00206104
3.28421593,0.00082816
3.29017639,0.00101320
3.29613686,0.00351291
3.30209732,0.00500163
3.30805779,0.00512295
3.31401825,0.00490763
3.31997871,0.00325989
3.32593918,0.00168331
3.33189964,0.00381260
3.33786011,0.00721688
3.34382057,0.00814213
3.34978104,0.00811171
3.35574150,0.00673748
3.36170197,0.00297639
3.36766243,0.00021166
3.37362289,0.00117549
3.37958336,0.00164617
3.38554382,0.00172690
3.39150429,0.00165897
3.39746475,0.00106603
3.40342522,0.00026470
3.40938568,0.00031580
3.41534615,0.00070432
3.42130661,0.00079673
3.42726707,0.00082099
3.43322754,0.00068296
3.43918800,0.00031437
3.44514847,0.00002269
3.45110893,0.00021366
3.45706940,0.00034480
3.46302986,0.00037374
