B, мT;\sigma_B, мТ;\varepsilon_B;I_a, мкА;\sigma_{I_a}, мкА
0;0,000;0,000;790;5
0,84;0,140;0,167;770;5
1,4;0,140;0,100;770;5
2,24;0,140;0,063;760;5
3,36;0,140;0,042;680;5
4,2;0,140;0,033;590;5
5,04;0,140;0,028;440;5
5,32;0,140;0,026;350;5
5,6;0,140;0,025;210;5
5,88;0,140;0,024;90;5
6,16;0,140;0,023;50;5
6,44;0,140;0,022;30;5
6,72;0,140;0,021;20;5
8,12;0,140;0,017;0;5
