B, мT;\sigma_B, мТ;\varepsilon_B;I_a, мкА;\sigma_{I_a}, мкА
0;0,000;0,000;770;5
0,84;0,140;0,167;760;5
1,68;0,140;0,083;770;5
2,24;0,140;0,063;770;5
3,08;0,140;0,045;740;5
3,92;0,140;0,036;700;5
4,76;0,140;0,029;550;5
5,04;0,140;0,028;510;5
5,6;0,140;0,025;370;5
5,88;0,140;0,024;230;5
6,16;0,140;0,023;140;5
6,44;0,140;0,022;60;5
6,72;0,140;0,021;40;5
8,4;0,140;0,017;0;5
