U_c / U_c(1);\sigma_{U_c / U_c(1)};f / f_0;\sigma_{f / f_0}
0,6406482912;0,0032187315;0,9689463686;0,0000508705
0,6785646530;0,0032753091;0,9718690633;0,0000509449
0,7246388595;0,0033470201;0,9751570948;0,0000510287
0,7683551508;0,0034178892;0,9780797896;0,0000511033
0,8643521153;0,0035823531;0,9842905159;0,0000512622
0,9068487953;0,0036587083;0,9872132106;0,0000513372
0,9524080549;0,0037427733;0,9908665790;0,0000514310
1,0000000000;0,0038328687;1,0000000000;0,0000516664
0,9481258639;0,0037347787;1,0087680840;0,0000518934
0,9038133182;0,0036531869;1,0127867890;0,0000519978
0,8583895710;0,0035718066;1,0164401580;0,0000520929
0,8157031737;0,0034975548;1,0197281890;0,0000521786
0,7684093558;0,0034179787;1,0233815580;0,0000522739
0,7231482234;0,0033446511;1,0270349260;0,0000523695
0,6792151123;0,0032762993;1,0306882950;0,0000524652
0,6378567363;0,0032146565;1,0343416630;0,0000525611
