B, мT;\sigma_B, мТ;\varepsilon_B;I_a, мкА;\sigma_{I_a}, мкА
0;0,000;0,000;760;5
0,56;0,140;0,250;750;5
1,12;0,140;0,125;750;5
1,68;0,140;0,083;740;5
2,52;0,140;0,056;740;5
3,08;0,140;0,045;670;5
3,36;0,140;0,042;650;5
3,64;0,140;0,038;620;5
4,48;0,140;0,031;530;5
4,76;0,140;0,029;420;5
5,04;0,140;0,028;300;5
5,32;0,140;0,026;150;5
6,16;0,140;0,023;30;5
7,84;0,140;0,018;0;5
