B, мT;\sigma_B, мТ;\varepsilon_B;I_a, мкА;\sigma_{I_a}, мкА
0;0,14;0,000;790;5
1,4;0,14;0,100;730;5
2,8;0,14;0,050;610;5
3,08;0,14;0,045;610;5
3,36;0,14;0,042;560;5
3,64;0,14;0,038;520;5
3,92;0,14;0,036;440;5
4,2;0,14;0,033;330;5
4,48;0,14;0,031;170;5
4,76;0,14;0,029;80;5
5,04;0,14;0,028;50;5
5,32;0,14;0,026;30;5
5,6;0,14;0,025;20;5
5,88;0,14;0,024;10;5
6,72;0,14;0,021;0;5
